"Måndag 9-12","Nummer","Mellan gator","Sida av gatan"
"Landbrogatan ","21-25","Västra Vittusgatan - Västra  Köpmansgatan","Västra"
"Östra Vittusgatan ","5-9","Norra Kungsgatan - Norra Smedjegatan","Södra"
"Östra Köpmansgatan","28","Norra Smedjegatan - Drottninggatan","Norra"
"Drottninggatan ","50A-54","Ölandsgatan - Skeppsbrotorget","Östra"
"Ostermansgatan","5-13","Gamla Skeppsbrog - Spårgatan","Västra"
"Bredgatan","11-17","Ronnebygatan - Östra Köpmansgatan","Västra"
"Kyrkogatan ","6-10","Drottninggatan - Bredgatan","Norra"
"Båtmansgränd ","4","Fortifikationsgatan - Sparrensgatan","Östra"
"Hästkvarnsgatan","2-4","Östra Prinsgatan - Alamedan","Östra"
"Östra Prinsgatan  ","","Södra Kungsgatan - Södra Smedjegatan","Norra"
"Södra Kungsgatan","1","Stortorget till Amiralitetstorget","Västra"
"Västra Prinsgatan ","27A - 43","Styrmansgatan - Arklimästaregatan","Södra"
"Amiralitetstorget","27","Södra Kungsgatan - Borgmästaregatan","Norra"
"Amiralitetsgatan ","","Amiralitetstorget - Styrmansgatan","Norra"
"Borgmästaregatan ","1-5 ","Hantverkaregatan - Västra Prinsgatan","Västra"
"Kungsbrogatan","","Drottninggatan - Kungsbron","Norra"
"Sparrensgatan ","2-10","Drottninggatan - Båtsmansgränd","Norra"
"Alamedan","4-8B","Hästkvarnsgatan till Drottninggatan","Norra"
"Skepparegatan","","Hantverkaregatan - Västra Prinsgatan","Västra"
"","","",""
"Måndag 13-16","Nummer","Mellan gator","Sida av gatan"
"Västra Vittusgatan ","1-13","Möllebacksgränd - Landbrogatan ","Södra"
"Norra Smedjegatan ","42-52","Nya Skeppsbrogatan - Spårgatan","Östra"
"Spårgatan",""," Norra Smedjegatan - Norra Kungsgatan","Norra"
"Norra Smedjegatan ","19-25","Östra Köpmansgatan - Stenbergsgränd","Västra"
"Ronnebygatan","1-3","Bredgatan - Östra Hamngatan","Södra"
"Amiralitetstorget","","Alamedan - Amiralitetstorget till Högvakten","Västra"
"Vallgatan","","Amiralitetstorget - Amiralitetstorget genom Amiralitetsparken.","Norra"
"Borgmästaregatan ","2-10","Amiralitetstorget - Hantverkaregatan","Östra"
"Arklimästaregatan","44-46 ","Hantverkaregatan - Fisktorget","Norra"
"Hantverkaregatan","32-36","Styrmansgatan - Dockegatan ","Norra"
"Skomakaregatan Från  ","31-43A","Dockegatan - Styrmansgatan","Södra"
"Hantverkaregatan ","5-11","Arklimästaregatan - Konstapelsgatan ","Södra"
"Konstapelsgatan ","","Prinsgatan - Amiralitetsgatan ","Västra"
"Konstapelsgatan","1-13","Amiralitetsgatan - Varvsgatan","Västra"
"Borgmästarekajen","2-14","",""
"","","",""
"Tisdag 9-12","Nummer","Mellan gator","Sida av gatan"
"Västra Köpmansgatan","15-19","Borgmästarekajen - Bryggaregatan","Södra"
"Hantverkaregatan","37-47","Dockegatan - Styrmansgatan","Södra"
"Skomakaregatan","10-34","Skepparegatan - Styrmansgatan","Norra"
"Amiralitetsgatan","2-8","Borgmästarekajen - Konstapelsgatan","Norra"
"Västa Prinsgatan","2-16A","Borgmästaregatan - Arklimästaregatan","Norra"
"Konstapelsgatan","","Amiralitetsgatan - Västra Prinsgatan","Östra"
"Östra Prinsgatan","7 A-23","Södra Smedjegatan - Drottninggatan","Södra"
"Ronnebygatan","7-9","Drottninggatan - Bredgatan","Södra"
"Östra Köpmansgatan","5-7","Guldsmedsgränd - Bredgatan","Södra"
"Ölandsgatan","1-5","Drottninggatan - Östra Hamngatan","Södra"
"Högabergsgatan","3-5","Högabergsgatan - Stora Möllebacksgränd","Västra"
"Thore Christoffersgatan","2A-8C","Gamla Skeppsbrogatan - Spårgatan","Östra"
